S No.,Product Id,Category,Office Name,Product Name,Unit Selling Price(Piece),No. of Pieces in Box,Unit Selling Price(Box),Tax Type,Tax/Vat Percentage
59,1392,Soap,Mathura(DO) - Division Office,Lux Soap - Rs.10,7.89,144,7.81,Sale Tax  ,14
60,1393,Soap,Mathura(DO) - Division Office,Lifebuoy Soap - Rs.10,7.9,144,7.82,Sale Tax  ,14
61,1394,Stationaly,Mathura(DO) - Division Office,Pencil - Right Buy,113,1,111.87,Sale Tax  ,5
62,1395,Stationaly,Mathura(DO) - Division Office,Sketch Pen,12.55,40,12.42,Sale Tax  ,5
63,1401,Washing Powder,Mathura(DO) - Division Office,Ghari Powder 1 KG,35.29,25,34.94,Sale Tax  ,14
64,1421,Cookie,Mathura(DO) - Division Office,Sunfeast Cream [MRP Rs.5],3.82,144,3.78,Sale Tax  ,14
65,1422,Washing Powder,Mathura(DO) - Division Office,Rin Washin powder 224 gm,7.47,60,7.4,Sale Tax  ,14
66,1423,Soap,Mathura(DO) - Division Office,Lux 125 gm 1*3,62.5,30,61.87,Sale Tax  ,14
67,1440,Tooth paste,Mathura(DO) - Division Office,Close up - Rs 10,93,13,92.07,Sale Tax  ,14
68,1446,Washing Powder,Mathura(DO) - Division Office,  Rin Advance Bar-100gm.,8,60,7.92,Sale Tax  ,14
69,1450,Tea,Mathura(DO) - Division Office,Nutrine Coffee,261,6,258.39,Sale Tax  ,5
70,1451,Candy,Mathura(DO) - Division Office,Nutrine Gold,261.9,6,259.28,Sale Tax  ,5
71,1509,Washing Powder,Mathura(DO) - Division Office,Ghari Washing Powder - 3kg,107.18,10,106.11,Sale Tax  ,14
72,1510,Soap,Mathura(DO) - Division Office,Breeze Bathing Soap,23.92,30,23.68,Sale Tax  ,14
73,1511,Candy,Mathura(DO) - Division Office,Alpenliebe - 3.750 kg,662.99,1,656.36,Sale Tax  ,5
74,1523,Candy,Mathura(DO) - Division Office,Dairy Milk Shots,89.47,1,88.58,Sale Tax  ,14
75,1548,Drink,Mathura(DO) - Division Office,Limca 2.ltr,47.37,9,46.9,Sale Tax  ,14
76,1549,Drink,Mathura(DO) - Division Office,Thums-Up 2.ltr,47.37,9,46.9,Sale Tax  ,14
77,1556,Washing Powder,Mathura(DO) - Division Office,Wheel Washing 1 kg,31.75,25,31.43,Sale Tax  ,14
78,1557,Shampoo,Mathura(DO) - Division Office,Clinic Plus 1 rs,10.96,48,10.85,Sale Tax  ,14
79,1571,Drink,Mathura(DO) - Division Office,Sprite 2 liter,48.25,9,47.77,Sale Tax  ,14
80,1572,Drink,Mathura(DO) - Division Office,Fanta 2 liter,48.25,9,47.77,Sale Tax  ,14
81,1573,Washing Powder,Mathura(DO) - Division Office,Wheel active Bar Rs- 10,7.28,50,7.21,Sale Tax  ,14
82,1598,Washing Powder,Mathura(DO) - Division Office,Kamal Ujala 25 gm,43.81,50,43.37,Sale Tax  ,5
83,1599,Washing Powder,Mathura(DO) - Division Office,Kamal Ujala 50 gm,114.28,30,113.14,Sale Tax  ,5
84,1602,Tooth paste,Mathura(DO) - Division Office,Lotus Tooth Brush,70.17,48,69.47,Sale Tax  ,14
85,1603,Others,Mathura(DO) - Division Office,Steel Scrub,59.64,30,59.04,Sale Tax  ,14
86,1640,Tooth paste,Mathura(DO) - Division Office,Tooth Paste 40gm - Personal,5.83,12,5.77,Sale Tax  ,14
87,1641,Soap,Mathura(DO) - Division Office,Shaving Cream 70gm - Globe,11.57,12,11.45,Sale Tax  ,14
